Common Name,Distribution,Endangered Species Act Status,NatureServe Global Rank,NatureServe Rounded Global Rank,Scientific Name,Species Group (Fine),View on NatureServe Explorer,_id
Oregon Chub,United States: OR (S3),Delisted,G3,G3,Oregonichthys crameri,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103713/Oregonichthys_crameri,645ab24495bd22ca2330fc22
Amber Darter,"United States: GA (S1), TN (S1)",Endangered,G1G2,G1,Percina antesella,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105987/Percina_antesella,645ab24495bd22ca2330fc23
Goldline Darter,"United States: AL (S1), GA (S2), TN (SNR)",Threatened,G2,G2,Percina aurolineata,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102368/Percina_aurolineata,645ab24495bd22ca2330fc24
Pearl Darter,"United States: LA (SH), MS (S1)",Threatened,G1,G1,Percina aurora,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101272/Percina_aurora,645ab24495bd22ca2330fc25
Chesapeake Logperch,"United States: MD (S1), PA (S1), VA (S1)",Under Review,G1G2,G1,Percina bimaculata,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.844068/Percina_bimaculata,645ab24495bd22ca2330fc26
Coal Darter,United States: AL (S2),Under Review,G2,G2,Percina brevicauda,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101481/Percina_brevicauda,645ab24495bd22ca2330fc27
Halloween Darter,"United States: AL (S1), GA (S2)",Under Review,G2,G2,Percina crypta,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.24.32025/Percina_crypta,645ab24495bd22ca2330fc28
Bluestripe Darter,United States: MO (S2),Under Review,G2,G2,Percina cymatotaenia,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102395/Percina_cymatotaenia,645ab24495bd22ca2330fc29
Conasauga Logperch,"United States: GA (S1), TN (S1)",Endangered,G1,G1,Percina jenkinsi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104957/Percina_jenkinsi,645ab24495bd22ca2330fc2a
Longnose Darter,"United States: AR (S3), MO (S1), OK (S1)",Under Review,G3,G3,Percina nasuta,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1099054/Percina_nasuta,645ab24495bd22ca2330fc2b
Leopard Darter,"United States: AR (S1), OK (S1)",Threatened,G2,G2,Percina pantherina,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106091/Percina_pantherina,645ab24495bd22ca2330fc2c
Roanoke Logperch,"United States: NC (S1), VA (S1)",Endangered,G1G2,G1,Percina rex,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102785/Percina_rex,645ab24495bd22ca2330fc2d
Bankhead Darter,United States: AL (S1),Under Review,G1,G1,Percina sipsi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104072/Percina_sipsi,645ab24495bd22ca2330fc2e
Snail Darter,"United States: AL (S1), GA (S1), MS (S1), TN (S2)",Delisted,G2G3,G2,Percina tanasi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101085/Percina_tanasi,645ab24495bd22ca2330fc2f
